[2021-07-19 19:51:18] - Loading tables...
[2021-07-19 19:51:18] - Converting table wecj_commentmeta
[2021-07-19 19:51:18] - Converting table wecj_comments
[2021-07-19 19:51:19] - Converting table wecj_links
[2021-07-19 19:51:19] - Converting table wecj_options
[2021-07-19 19:51:19] - Converting table wecj_postmeta
[2021-07-19 19:51:19] - Converting table wecj_posts
[2021-07-19 19:51:19] - Converting table wecj_term_relationships
[2021-07-19 19:51:19] - Converting table wecj_term_taxonomy
[2021-07-19 19:51:19] - Converting table wecj_termmeta
[2021-07-19 19:51:19] - Converting table wecj_terms
[2021-07-19 19:51:19] - Converting table wecj_usermeta
[2021-07-19 19:51:19] - Converting table wecj_users
